cal_sbid,sbid,field
35283,35303,RACS_0154+23
35283,35304,RACS_0208+09
35283,35305,RACS_0226+18
35283,35306,RACS_0248+18
35283,35307,RACS_0311+18
35283,35308,RACS_0327+14
35283,35309,RACS_0349+14
35283,35310,RACS_0417+09
35283,35311,RACS_0439+00
35283,35312,RACS_0454+14
35283,35313,RACS_0503+18
35283,35314,RACS_0526-18
35283,35315,RACS_0542-23
35283,35316,RACS_0605-23
35283,35317,RACS_0628-23
35283,35318,RACS_0643-14
35283,35319,RACS_0705-14
35283,35320,RACS_0724-28
35283,35321,RACS_0752+04
35283,35322,RACS_0814+04
35283,35323,RACS_0835+00
35283,35324,RACS_0857-04
35283,35325,RACS_0918+00
35283,35326,RACS_0940+00
35283,35327,RACS_1001+04
35283,35328,RACS_1023+04
35283,35329,RACS_1044+09
35283,35330,RACS_1044+04
35283,35331,RACS_1106+04
35283,35332,RACS_1127-04
35283,35333,RACS_1149+00
35283,35334,RACS_1210+04
35283,35335,RACS_1232+09
35283,35336,RACS_1254+14
35283,35337,RACS_1316+14
35283,35338,RACS_1324+28
35283,35339,RACS_1348+28
35283,35340,RACS_1405+23
35283,35341,RACS_1428+23
35283,35345,RACS_1514-23
35283,35346,RACS_1533+18
35283,35347,RACS_1556+18
35283,35348,RACS_1618+18
35283,35349,RACS_1632+14
35283,35350,RACS_1654+14
35283,35351,RACS_1733+09
35283,35352,RACS_1733+04
35283,35353,RACS_1754+23
35283,35354,RACS_1817+23
35283,35355,RACS_1833+18
35283,35356,RACS_1859+09
35283,35357,RACS_1914+32
35369,35367,RACS_2124+28
35440,35397,RACS_0104+04
35440,35398,RACS_0118+18
35440,35399,RACS_0141+18
35440,35400,RACS_0200+14
35440,35401,RACS_0230+09
35440,35402,RACS_0251+09
35440,35404,RACS_0356+18
35440,35405,RACS_0410-14
35440,35406,RACS_0418-18
35440,35407,RACS_0439-04
35440,35408,RACS_0500+00
35440,35409,RACS_0522+04
35440,35410,RACS_0543+00
35440,35411,RACS_0605+00
35440,35412,RACS_0626+04
35440,35413,RACS_0648-04
35440,35414,RACS_0709-04
35440,35415,RACS_0718-18
35440,35416,RACS_0741-18
35440,35417,RACS_0759-23
35440,35418,RACS_0822-23
35440,35419,RACS_0845-23
35440,35420,RACS_0900-28
35440,35421,RACS_0924-28
35440,35422,RACS_0938-14
35440,35423,RACS_1000-14
35440,35424,RACS_1017-23
35440,35425,RACS_1039-23
35440,35426,RACS_1100-28
35440,35427,RACS_1124-28
35440,35428,RACS_1148-28
35440,35429,RACS_1212-28
35440,35431,RACS_1436+28
35440,35432,RACS_1500+28
35440,35433,RACS_1524+09
35440,35434,RACS_1545+09
35440,35435,RACS_1607+04
35440,35436,RACS_1622+23
35440,35437,RACS_1641+18
35440,35438,RACS_1703+18
35440,35439,RACS_1716-14
35440,35441,RACS_1953-60
35440,35442,RACS_2027-51
35440,35443,RACS_2036-28
35440,35444,RACS_2057-23
35440,35445,RACS_2116+14
35440,35446,RACS_2138+14
35440,35447,RACS_2200+14
35440,35448,RACS_2221+14
35440,35449,RACS_2241+18
35440,35450,RACS_2300+28
35440,35451,RACS_2324+28
35440,35452,RACS_2337+23
35440,35453,RACS_2359+23
35440,35454,RACS_0044+46
35440,35455,RACS_0042+09
35440,35456,RACS_0104+00
35440,35457,RACS_0116+14
35440,35458,RACS_0138+14
35440,35459,RACS_0208+04
35440,35460,RACS_0230+04
35440,35461,RACS_0251+04
35440,35462,RACS_0313+09
35440,35463,RACS_0333+18
35440,35464,RACS_0334+09
35440,35465,RACS_0356+09
35440,35466,RACS_0417+04
35440,35467,RACS_0439-09
35440,35468,RACS_0500-04
35440,35469,RACS_0522+00
35440,35470,RACS_0543-04
35440,35471,RACS_0605-04
35440,35472,RACS_0626+00
35440,35473,RACS_0633-18
35440,35474,RACS_0656-18
35440,35475,RACS_0714-23
35440,35476,RACS_0737-23
35440,35477,RACS_0803-18
35440,35478,RACS_0814-09
35440,35479,RACS_0835-04
35440,35480,RACS_0857-09
35440,35481,RACS_0918-04
35440,35482,RACS_0940-04
35440,35483,RACS_1001+00
35440,35484,RACS_1023+00
35440,35485,RACS_1044+00
35440,35486,RACS_1106+00
35440,35487,RACS_1127-09
35440,35488,RACS_1149-04
35440,35489,RACS_1210+00
35440,35490,RACS_1232+04
35440,35491,RACS_1232+14
35440,35492,RACS_1254+14
35440,35493,RACS_1318+18
35440,35494,RACS_1338+14
35440,35495,RACS_1400+14
35440,35496,RACS_1421+14
35440,35497,RACS_1443+14
35440,35498,RACS_1502+09
35440,35499,RACS_1524+04
35440,35500,RACS_1545+04
35440,35501,RACS_1607+00
35440,35502,RACS_1628+00
35440,35503,RACS_1632-14
35440,35504,RACS_1654-14
35440,35505,RACS_1711-09
35440,35506,RACS_1733-04
35440,35507,RACS_1754+00
35440,35508,RACS_1811+18
35440,35509,RACS_1839+23
35440,35510,RACS_1859+04
35440,35511,RACS_1918+18
35440,35512,RACS_1941+18
